"refseq_mrna","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001270928","ENSG00000185745",24751.2738270352,-7.69743090134425,0.3954315328238,-19.465900572917,2.13705299312003e-84,2.89844223350884e-81
"NM_001270929","ENSG00000185745",24751.2738270352,-7.69743090134425,0.3954315328238,-19.465900572917,2.13705299312003e-84,2.89844223350884e-81
"NM_001270930","ENSG00000185745",24682.0133587835,-7.69141291836894,0.395850738550704,-19.4300835373678,4.29662258146852e-84,5.60329161037897e-81
"NM_001278343","ENSG00000077522",17.7100963532377,-1.87461918750723,0.761365747159262,-2.46217956941409,0.0138095507455653,0.136632750840351
"NM_001278344","ENSG00000077522",17.7100963532377,-1.87461918750723,0.761365747159262,-2.46217956941409,0.0138095507455653,0.136632750840351
"NM_001278736","ENSG00000271503",211.832015521804,-3.46898638010602,0.23212252950918,-14.9446345748564,1.68814665685636e-50,5.84081517286006e-48
"NM_001278736","ENSG00000274233",211.832015521804,-3.46898638010602,0.23212252950918,-14.9446345748564,1.68814665685636e-50,5.84081517286006e-48
"NM_001282399","ENSG00000115604",682.661385026011,-1.73301916435206,0.748895762165077,-2.31409930714771,0.0206622754215827,0.179226342471119
"NM_001282457","ENSG00000166278",10.1787018842028,-1.86720786457611,1.11917134818098,-1.66838426270556,0.0952394702863019,0.449990139052441
"NM_001282457","ENSG00000235017",10.1787018842028,-1.86720786457611,1.11917134818098,-1.66838426270556,0.0952394702863019,0.449990139052441
"NM_001282457","ENSG00000226560",10.1787018842028,-1.86720786457611,1.11917134818098,-1.66838426270556,0.0952394702863019,0.449990139052441
"NM_001282457","ENSG00000206372",10.1787018842028,-1.86720786457611,1.11917134818098,-1.66838426270556,0.0952394702863019,0.449990139052441
"NM_001282457","ENSG00000235696",10.1787018842028,-1.86720786457611,1.11917134818098,-1.66838426270556,0.0952394702863019,0.449990139052441
"NM_001282457","ENSG00000204364",10.1787018842028,-1.86720786457611,1.11917134818098,-1.66838426270556,0.0952394702863019,0.449990139052441
"NM_001282457","ENSG00000231543",10.1787018842028,-1.86720786457611,1.11917134818098,-1.66838426270556,0.0952394702863019,0.449990139052441
"NM_001282458","ENSG00000166278",9.81253486370671,-2.98359004746622,1.12750077852558,-2.64619777147102,0.00814022091594033,0.0952094293278803
"NM_001282458","ENSG00000235017",9.81253486370671,-2.98359004746622,1.12750077852558,-2.64619777147102,0.00814022091594033,0.0952094293278803
